wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
86.60,144.60,63.90,50.80,1713,92,2.91,3.41,9.60,58,4800,49,54,6479
86.60,144.60,63.90,50.80,1819,92,2.91,3.41,9.20,76,6000,31,38,6855
93.70,150.00,64.00,52.60,1837,79,2.91,3.07,10.10,60,5500,38,42,5399
93.70,150.00,64.00,52.60,1940,92,2.91,3.41,9.20,76,6000,30,34,6529
93.70,150.00,64.00,52.60,1956,92,2.91,3.41,9.20,76,6000,30,34,7129
96.50,163.40,64.00,54.50,2010,92,2.91,3.41,9.20,76,6000,30,34,7295
96.50,157.10,63.90,58.30,2024,92,2.92,3.41,9.20,76,6000,30,34,7295
96.50,167.50,65.20,53.30,2236,110,3.15,3.58,9.00,86,5800,27,33,7895
96.50,167.50,65.20,53.30,2289,110,3.15,3.58,9.00,86,5800,27,33,9095
96.50,175.40,65.20,54.10,2304,110,3.15,3.58,9.00,86,5800,27,33,8845
96.50,175.40,62.50,54.10,2372,110,3.15,3.58,9.00,86,5800,27,33,10295
96.50,175.40,65.20,54.10,2465,110,3.15,3.58,9.00,101,5800,24,28,12945
96.50,169.10,66.00,51.00,2293,110,3.15,3.58,9.10,100,5500,25,31,10345
94.30,170.70,61.80,53.50,2337,111,3.31,3.23,8.50,78,4800,24,29,6785
94.50,155.90,63.60,52.00,1874,90,3.03,3.11,9.60,70,5400,38,43,?
94.50,155.90,63.60,52.00,1909,90,3.03,3.11,9.60,70,5400,38,43,?
96.00,172.60,65.20,51.40,2734,119,3.43,3.23,9.20,90,5000,24,29,11048
113.00,199.60,69.60,52.80,4066,258,3.63,4.17,8.10,176,4750,15,19,32250
113.00,199.60,69.60,52.80,4066,258,3.63,4.17,8.10,176,4750,15,19,35550
102.00,191.70,70.60,47.80,3950,326,3.54,2.76,11.50,262,5000,13,17,36000
93.10,159.10,64.20,54.10,1890,91,3.03,3.15,9.00,68,5000,30,31,5195
93.10,159.10,64.20,54.10,1900,91,3.03,3.15,9.00,68,5000,31,38,6095
93.10,159.10,64.20,54.10,1905,91,3.03,3.15,9.00,68,5000,31,38,6795
93.10,166.80,64.20,54.10,1945,91,3.03,3.15,9.00,68,5000,31,38,6695
93.10,166.80,64.20,54.10,1950,91,3.08,3.15,9.00,68,5000,31,38,7395
95.30,169.00,65.70,49.60,2380,70,?,?,9.40,101,6000,17,23,10945
95.30,169.00,65.70,49.60,2380,70,?,?,9.40,101,6000,17,23,11845
95.30,169.00,65.70,49.60,2385,70,?,?,9.40,101,6000,17,23,13645
95.30,169.00,65.70,49.60,2500,80,?,?,9.40,135,6000,16,23,15645
98.80,177.80,66.50,53.70,2385,122,3.39,3.39,8.60,84,4800,26,32,8845
98.80,177.80,66.50,55.50,2410,122,3.39,3.39,8.60,84,4800,26,32,8495
98.80,177.80,66.50,53.70,2385,122,3.39,3.39,8.60,84,4800,26,32,10595
98.80,177.80,66.50,55.50,2410,122,3.39,3.39,8.60,84,4800,26,32,10245
98.80,177.80,66.50,55.50,2443,122,3.39,3.39,22.70,64,4650,36,42,10795
98.80,177.80,66.50,55.50,2425,122,3.39,3.39,8.60,84,4800,26,32,11245
104.90,175.00,66.10,54.40,2670,140,3.76,3.16,8.00,120,5000,19,27,18280
104.90,175.00,66.10,54.40,2700,134,3.43,3.64,22.00,72,4200,31,39,18344
110.00,190.90,70.30,56.50,3515,183,3.58,3.64,21.50,123,4350,22,25,25552
110.00,190.90,70.30,58.70,3750,183,3.58,3.64,21.50,123,4350,22,25,28248
106.70,187.50,70.30,54.90,3495,183,3.58,3.64,21.50,123,4350,22,25,28176
115.60,202.60,71.70,56.30,3770,183,3.58,3.64,21.50,123,4350,22,25,31600
115.60,202.60,71.70,56.50,3740,234,3.46,3.10,8.30,155,4750,16,18,34184
96.60,180.30,70.50,50.80,3685,234,3.46,3.10,8.30,155,4750,16,18,35056
120.90,208.10,71.70,56.70,3900,308,3.80,3.35,8.00,184,4500,14,16,40960
112.00,199.20,72.00,55.40,3715,304,3.80,3.35,8.00,184,4500,14,16,45400
102.70,178.40,68.00,54.80,2910,140,3.78,3.12,8.00,175,5000,19,24,16503
93.70,157.30,64.40,50.80,1918,92,2.97,3.23,9.40,68,5500,37,41,5389
93.70,157.30,64.40,50.80,1944,92,2.97,3.23,9.40,68,5500,31,38,6189
93.70,157.30,64.40,50.80,2004,92,2.97,3.23,9.40,68,5500,31,38,6669
93,157.30,63.80,50.80,2145,98,3.03,3.39,7.60,102,5500,24,30,7689
96.30,173.00,65.40,49.40,2370,110,3.17,3.46,7.50,116,5500,23,30,9959
96.30,173.00,65.40,49.40,2328,122,3.35,3.46,8.50,88,5000,25,32,8499
95.90,173.20,66.30,50.20,2833,156,3.58,3.86,7.00,145,5000,19,24,12629
95.90,173.20,66.30,50.20,2921,156,3.59,3.86,7.00,145,5000,19,24,14869
95.90,173.20,66.30,50.20,2926,156,3.59,3.86,7.00,145,5000,19,24,14489
96.30,172.40,65.40,51.60,2365,122,3.35,3.46,8.50,88,5000,25,32,6989
96.30,172.40,65.40,51.60,2405,122,3.35,3.46,8.50,88,5000,25,32,8189
96.30,172.40,65.40,51.60,2403,110,3.17,3.46,7.50,116,5500,23,30,9279
96.30,172.40,65.40,51.60,2403,110,3.17,3.46,7.50,116,5500,23,30,9279
94.50,165.30,63.80,54.50,1889,97,3.15,3.29,9.40,69,5200,31,37,5499
94.50,165.30,63.80,54.50,2017,103,2.99,3.47,21.90,55,4800,45,50,7099
94.50,165.30,63.80,54.50,1918,97,3.15,3.29,9.40,69,5200,31,37,6649
94.50,165.30,63.80,54.50,1938,97,3.15,3.29,9.40,69,5200,31,37,6849
